year;Permanent_Tournament_Number;Round_Number;fullart_bing_positive;fullart_bing_negative;fullart_bing_sentiment;fullart_afinn_positive;fullart_afinn_negative;fullart_afinn_sentiment;fullart_nrc_positive;fullart_nrc_negative;fullart_nrc_sentiment;resp_bing_positive;resp_bing_negative;resp_bing_sentiment;resp_afinn_positive;resp_afinn_negative;resp_afinn_sentiment;resp_nrc_positive;resp_nrc_negative;resp_nrc_sentiment;quest_bing_positive;quest_bing_negative;quest_bing_sentiment;quest_afinn_positive;quest_afinn_negative;quest_afinn_sentiment;quest_nrc_positive;quest_nrc_negative;quest_nrc_sentiment;sentimentr_fullart;sentimentr_resp;sentimentr_quest;Link;Tour;Tournament_Order;Course_Number;Player_Number;Player_Name;Event_Name;Course_Name;Interview_Text;Response_Negative;Response_Positive;Response_Sentiment;Round_Score;End_of_Round_Pos_numeric_;Total_Holes_Over_Par;Birdies;Birdies_Rank;Bogey_Avoidance_Rank;Driving_Distance_Rank;Driving_Accuracy_Rank;GIR_Rank;Scrambling_Rank;Distance_to_leader_strokes;Distance_to_leader_ranks;Ranks_gained;Strokes_gained_v_a_v_Leader;Distance_to_runner_up_strokes_;Strokes_gained_v_a_v_Runner_up;Minor_Injury;Major_injury_surgery;Personal_issues;Major;Prize_Money;SoF;OWGR;Number_Of_Answers
1997;26;3;25;20;5;67;33;34;30;33;-3;2;4;-2;7;10;-3;6;9;-3;23;16;7;60;23;37;24;24;0;0.040992654;-0.062157456;0.10315011;http://www.asapsports.com/show_interview.php?id=16126;R;240;639;8793;Woods, Tiger;U.S. Open Championship;Congressional CC;NA;4;2;-2;73;21;6;4;10;52;1;37;15;20;9;20;12;5;NA;NA;0;0;0;1;2639320;715;2;19
1997;26;4;80;41;39;187;59;128;71;53;18;8;8;0;22;14;8;13;10;3;72;33;39;165;45;120;58;43;15;0.059395339;-0.018675727;0.078071066;http://www.asapsports.com/show_interview.php?id=16123;R;240;639;8793;Woods, Tiger;U.S. Open Championship;Congressional CC;NA;8;8;0;72;19;5;3;10;33;1;83;9;33;10;18;-2;1;NA;NA;0;0;0;1;2639320;715;2;42
1997;60;0;133;106;27;269;55;214;152;104;48;31;3;28;73;11;62;19;9;10;102;103;-1;196;44;152;133;95;38;0.055072403;0.194237651;-0.139165248;http://www.asapsports.com/show_interview.php?id=16111;R;460;NA;8793;Woods, Tiger;THE TOUR Championship;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56
1998;8;0;203;95;108;419;150;269;189;105;84;28;15;13;68;29;39;25;16;9;175;80;95;351;121;230;164;89;75;0.115294091;0.174878162;-0.059584071;http://www.asapsports.com/show_interview.php?id=16109;R;90;8;8793;Woods, Tiger;Doral-Ryder Open;Doral CC (Blue);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63
1998;8;3;65;22;43;100;30;70;45;41;4;12;8;4;20;5;15;12;13;-1;53;14;39;80;25;55;33;28;5;0.118364869;0.07218332;0.046181549;http://www.asapsports.com/show_interview.php?id=16104;R;90;8;8793;Woods, Tiger;Doral-Ryder Open;Doral CC (Blue);NA;8;12;4;71;3;3;4;7;14;15;69;22;36;3;2;-4;1;NA;NA;0;0;0;0;2019400;429;1;20
1998;11;0;163;58;105;346;77;269;141;79;62;31;9;22;71;14;57;24;8;16;132;49;83;275;63;212;117;71;46;0.111863101;0.194001629;-0.082138528;http://www.asapsports.com/show_interview.php?id=16101;R;130;NA;8793;Woods, Tiger;THE PLAYERS Championship;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49
1998;23;0;152;70;82;342;75;267;105;62;43;18;11;7;22;15;7;11;4;7;134;59;75;320;60;260;94;58;36;0.091688416;0.125856085;-0.034167669;http://www.asapsports.com/show_interview.php?id=16098;R;220;NA;8793;Woods, Tiger;Memorial Tournament;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;36
1998;26;0;184;88;96;426;111;315;174;106;68;31;5;26;71;10;61;24;11;13;153;83;70;355;101;254;150;95;55;0.082079413;0.13752737;-0.055447957;http://www.asapsports.com/show_interview.php?id=16095;R;240;NA;8793;Woods, Tiger;U.S. Open Championship;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;37
1998;60;0;198;63;135;395;55;340;143;74;69;35;10;25;69;13;56;27;13;14;163;53;110;326;42;284;116;61;55;0.156168574;0.228421223;-0.072252649;http://www.asapsports.com/show_interview.php?id=16078;R;460;NA;8793;Woods, Tiger;THE TOUR Championship;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63
1999;9;0;176;37;139;322;41;281;145;42;103;5;4;1;15;9;6;8;3;5;171;33;138;307;32;275;137;39;98;0.170384334;0.101941475;0.068442859;http://www.asapsports.com/show_interview.php?id=16048;R;120;NA;8793;Woods, Tiger;Bay Hill Invitational;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14
