Tour,Tournament_Year,Tournament_Order,Permanent_Tournament_Number,Course_Number,Player_Number,Player_Name,Round_Number,Event_Name,Course_Name,Interview_Text,Number_Of_Answers,Link,Response_Negative,Response_Positive,Response_Sentiment,Round_Score,End_of_Round_Pos_numeric_,Total_Holes_Over_Par,Birdies,Birdies_Rank,Bogey_Avoidance_Rank,Driving_Distance_Rank,Driving_Accuracy_Rank,GIR_Rank,Scrambling_Rank,Distance_to_leader_strokes,Distance_to_leader_ranks,Ranks_gained,Strokes_gained_v_a_v_Leader,Distance_to_runner_up_strokes_,Strokes_gained_v_a_v_Runner_up,Minor_Injury,Major_injury_surgery,Personal_issues,Major,Prize_Money,SoF,OWGR,fullart_bing_positive,fullart_bing_negative,fullart_bing_sentiment,fullart_afinn_positive,fullart_afinn_negative,fullart_afinn_sentiment,fullart_nrc_positive,fullart_nrc_negative,fullart_nrc_sentiment,resp_bing_positive,resp_bing_negative,resp_bing_sentiment,resp_afinn_positive,resp_afinn_negative,resp_afinn_sentiment,resp_nrc_positive,resp_nrc_negative,resp_nrc_sentiment,quest_bing_positive,quest_bing_negative,quest_bing_sentiment,quest_afinn_positive,quest_afinn_negative,quest_afinn_sentiment,quest_nrc_positive,quest_nrc_negative,quest_nrc_sentiment,sentimentr_fullart,sentimentr_resp,sentimentr_quest
R,1996,410,37,37,8793,"Woods, Tiger",2,B.C. Open,En-Joie GC,NA,NA,NA,NA,NA,NA,66,2,2,7,1,30,50,37,11,1,3,1,-6,1,NA,NA,0,0,0,0,999999.9999999998,133,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,410,37,37,8793,"Woods, Tiger",3,B.C. Open,En-Joie GC,NA,NA,NA,NA,NA,NA,66,3,2,7,5,22,1,34,19,46,3,2,1,0,NA,NA,0,0,0,0,999999.9999999998,133,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,440,41,625,8793,"Woods, Tiger",1,LaCantera Texas Open,LaCantera GC (Resort),NA,NA,NA,NA,NA,NA,69,10,4,7,2,76,43,4,27,109,3,9,NA,NA,NA,NA,0,0,0,0,1213895.9999999995,190,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,440,41,625,8793,"Woods, Tiger",2,LaCantera Texas Open,LaCantera GC (Resort),NA,NA,NA,NA,NA,NA,68,3,2,7,4,14,50,53,3,34,2,2,-7,-1,NA,NA,0,0,0,0,1213895.9999999995,190,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,440,41,625,8793,"Woods, Tiger",3,LaCantera Texas Open,LaCantera GC (Resort),NA,NA,NA,NA,NA,NA,73,9,4,3,37,54,1,62,28,68,7,8,6,5,NA,NA,0,0,0,0,1213895.9999999995,190,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,440,41,625,8793,"Woods, Tiger",4,LaCantera Texas Open,LaCantera GC (Resort),NA,NA,NA,NA,NA,NA,67,3,1,4,22,5,13,54,25,11,2,2,-6,-5,NA,NA,0,0,0,0,1213895.9999999995,190,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,450,45,145,8793,"Woods, Tiger",1,Walt Disney World/Oldsmobile Classic,Palm GC,NA,NA,NA,NA,NA,NA,69,58,2,6,18,77,16,32,99,48,6,57,NA,NA,NA,NA,0,0,0,0,1213896.0000000002,282,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,450,45,245,8793,"Woods, Tiger",2,Walt Disney World/Oldsmobile Classic,Lake Buena Vista GC,NA,NA,NA,NA,NA,NA,63,5,1,8,3,34,39,8,4,117,2,4,-53,-4,NA,NA,0,0,0,0,1213896.0000000002,282,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,450,45,45,8793,"Woods, Tiger",3,Walt Disney World/Oldsmobile Classic,Magnolia GC,NA,NA,NA,NA,NA,NA,69,4,1,2,99,14,5,79,2,123,1,3,-1,-1,NA,NA,0,0,0,0,1213896.0000000002,282,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,450,45,45,8793,"Woods, Tiger",4,Walt Disney World/Oldsmobile Classic,Magnolia GC,NA,NA,NA,NA,NA,NA,66,1,3,7,2,53,1,48,2,1,0,0,-3,-1,1,NA,0,0,0,0,1213896.0000000002,282,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,430,47,247,8793,"Woods, Tiger",1,Las Vegas Invitational,Las Vegas Hilton CC,NA,NA,NA,NA,NA,NA,70,83,3,4,56,104,21,13,123,67,8,82,NA,NA,NA,NA,0,0,0,0,1678215.0000000007,315,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,430,47,538,8793,"Woods, Tiger",2,Las Vegas Invitational,TPC Summerlin,NA,NA,NA,NA,NA,NA,63,11,1,8,2,22,1,4,27,63,7,10,-72,-1,NA,NA,0,0,0,0,1678215.0000000007,315,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,430,47,632,8793,"Woods, Tiger",3,Las Vegas Invitational,Desert Inn CC,NA,NA,NA,NA,NA,NA,68,8,1,3,100,16,1,120,53,42,6,7,-3,-1,NA,NA,0,0,0,0,1678215.0000000007,315,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,1996,430,47,538,8793,"Woods, Tiger",4,Las Vegas Invitational,TPC Summerlin,NA,NA,NA,NA,NA,NA,67,7,1,4,47,11,1,53,7,1,4,6,-1,-2,NA,NA,0,0,0,0,1678215.0000000007,315,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
